"Frame Number" "Frame Width" "Frame Height" xmin ymin xmax ymax
17 720 800 404 585 428 611
18 720 800 398 575 423 603
19 720 800 395 560 420 590
20 720 800 393 542 418 572
23 720 800 393 482 418 511
25 720 800 401 475 430 503
26 720 800 415 475 443 502
27 720 800 405 487 436 516
33 720 800 376 478 414 508
34 720 800 360 481 397 510
35 720 800 342 485 380 516
36 720 800 326 493 364 527
37 720 800 309 504 348 539
38 720 800 292 520 330 557
39 720 800 274 540 314 580
40 720 800 256 566 294 605
41 720 800 237 542 275 589
42 720 800 218 495 256 541
44 720 800 175 400 214 445
46 720 800 539 447 575 542
47 720 800 556 468 593 565
48 720 800 577 491 616 591
49 720 800 601 516 641 620
50 720 800 626 539 667 647
51 720 800 651 560 692 670
52 720 800 235 626 262 655
58 720 800 309 355 332 378
72 720 800 3 223 6 226
73 720 800 355 90 377 112
79 720 800 700 112 723 134
92 720 800 303 763 330 787
93 720 800 5 749 37 775
94 720 800 53 746 83 772
95 720 800 98 743 129 769
96 720 800 144 741 175 767
97 720 800 187 738 217 765
98 720 800 229 736 257 762
99 720 800 265 733 296 760
100 720 800 301 732 331 759
101 720 800 336 731 365 758
102 720 800 368 728 398 755
103 720 800 399 726 429 753
104 720 800 429 726 458 753
105 720 800 457 725 487 752
106 720 800 484 722 512 749
107 720 800 509 721 537 748
108 720 800 531 720 559 747
109 720 800 552 720 580 746
110 720 800 570 717 599 744
111 720 800 586 716 615 743
112 720 800 601 716 629 743
113 720 800 613 715 643 742
114 720 800 627 712 655 739
115 720 800 640 710 667 737
116 720 800 650 710 679 736
117 720 800 661 708 689 735
118 720 800 670 703 699 730
119 720 800 678 701 706 727
120 720 800 684 699 712 727
121 720 800 688 701 716 728
122 720 800 689 702 718 730
123 720 800 690 702 719 729
124 720 800 690 699 719 728
125 720 800 688 698 717 727
126 720 800 685 699 714 727
127 720 800 680 699 710 727
128 720 800 674 697 704 725
129 720 800 667 696 696 724
130 720 800 659 697 688 724
131 720 800 650 696 680 723
132 720 800 641 694 671 722
133 720 800 632 694 661 722
134 720 800 623 694 652 722
135 720 800 613 692 643 720
136 720 800 605 692 634 719
137 720 800 597 690 625 718
138 720 800 589 690 617 718
139 720 800 581 691 610 719
140 720 800 574 691 603 718
141 720 800 568 693 597 720
142 720 800 561 693 591 722
143 720 800 554 693 584 721
144 720 800 547 694 576 722
145 720 800 538 696 567 724
146 720 800 529 695 558 723
147 720 800 519 695 548 723
148 720 800 508 697 537 724
149 720 800 497 697 527 724
150 720 800 487 696 516 724
151 720 800 476 696 505 724
152 720 800 466 696 495 723
153 720 800 457 697 486 724
154 720 800 448 695 477 723
155 720 800 441 695 469 722
156 720 800 433 695 461 722
157 720 800 426 694 454 721
158 720 800 419 693 448 721
159 720 800 413 692 441 719
160 720 800 405 691 434 718
161 720 800 397 690 426 717
162 720 800 390 689 418 716
163 720 800 381 688 410 715
164 720 800 374 686 403 713
165 720 800 365 685 395 713
166 720 800 358 684 387 711
167 720 800 350 684 379 711
170 720 800 161 698 184 721
178 720 800 639 519 663 545
181 720 800 698 116 723 141
182 720 800 7 222 34 246
183 720 800 719 8 720 9
184 720 800 700 116 724 141
185 720 800 700 117 724 141
186 720 800 700 117 724 141
187 720 800 699 117 724 142
188 720 800 699 117 724 142
189 720 800 699 118 724 142
190 720 800 699 118 723 142
191 720 800 8 222 36 246
193 720 800 298 575 320 598
195 720 800 299 575 321 597
196 720 800 104 607 131 633
