"Frame Number" "Frame Width" "Frame Height" xmin ymin xmax ymax
4 720 800 180 470 210 502
5 720 800 180 457 210 487
6 720 800 180 448 211 477
7 720 800 181 441 211 470
8 720 800 182 438 212 467
9 720 800 182 438 214 467
10 720 800 184 441 215 471
12 720 800 187 457 219 488
13 720 800 17 671 62 716
15 720 800 198 508 232 546
16 720 800 205 536 240 575
17 720 800 213 567 247 609
18 720 800 222 605 258 650
19 720 800 230 613 264 656
21 720 800 256 511 299 551
34 720 800 23 772 55 798
37 720 800 75 752 107 778
58 720 800 138 381 163 402
59 720 800 350 263 371 285
60 720 800 202 380 224 402
63 720 800 386 376 409 397
65 720 800 484 367 510 389
66 720 800 532 362 559 384
67 720 800 580 358 607 380
68 720 800 628 354 651 375
69 720 800 670 348 696 370
72 720 800 614 513 635 534
79 720 800 560 179 585 205
81 720 800 562 184 584 206
83 720 800 562 188 583 209
84 720 800 560 189 582 210
85 720 800 667 788 692 810
107 720 800 228 677 259 710
108 720 800 387 349 414 377
109 720 800 395 335 423 363
110 720 800 403 321 432 349
111 720 800 411 307 440 336
112 720 800 420 293 450 323
113 720 800 432 277 462 307
125 720 800 0 207 3 211
