"Frame Number" "Frame Width" "Frame Height" xmin ymin xmax ymax
4 720 800 601 658 626 683
5 720 800 253 197 274 218
6 720 800 242 403 277 441
7 720 800 250 382 285 418
8 720 800 257 365 291 400
9 720 800 264 351 298 384
10 720 800 271 340 304 373
11 720 800 276 333 310 365
12 720 800 279 329 316 361
13 720 800 288 330 322 361
14 720 800 293 334 327 366
15 720 800 297 342 331 376
16 720 800 301 356 335 391
17 720 800 305 374 339 411
18 720 800 308 397 343 438
19 720 800 310 425 345 467
20 720 800 313 458 348 503
21 720 800 317 498 352 544
22 720 800 319 540 355 591
23 720 800 322 582 360 623
24 720 800 329 549 365 592
25 720 800 250 505 278 535
26 720 800 244 524 272 555
27 720 800 239 544 268 575
28 720 800 394 565 420 593
30 720 800 389 598 421 626
31 720 800 389 612 421 639
32 720 800 555 522 585 548
33 720 800 162 277 188 304
41 720 800 107 106 131 132
42 720 800 141 137 165 162
43 720 800 175 162 199 187
44 720 800 210 185 234 210
45 720 800 245 206 270 230
46 720 800 16 660 39 682
47 720 800 57 674 80 696
48 720 800 99 686 121 708
49 720 800 141 698 163 720
50 720 800 185 711 208 732
51 720 800 231 723 254 745
52 720 800 278 737 301 759
53 720 800 326 751 348 773
54 720 800 373 766 396 788
55 720 800 420 784 443 806
56 720 800 553 503 577 527
57 720 800 602 523 627 547
58 720 800 654 543 678 567
60 720 800 279 287 305 313
77 720 800 243 618 274 643
78 720 800 326 606 357 632
82 720 800 298 329 320 351
83 720 800 377 315 398 337
84 720 800 453 300 475 322
85 720 800 654 282 685 311
90 720 800 133 751 166 778
92 720 800 12 392 36 414
93 720 800 97 359 123 382
94 720 800 185 326 211 348
95 720 800 273 291 299 314
96 720 800 362 256 388 278
110 720 800 30 543 59 571
111 720 800 89 500 118 528
112 720 800 145 461 175 491
113 720 800 201 427 231 455
114 720 800 253 397 282 426
115 720 800 301 373 330 402
116 720 800 349 354 378 383
117 720 800 392 339 421 368
118 720 800 429 330 458 359
119 720 800 462 324 489 352
120 720 800 488 319 516 347
121 720 800 512 316 539 345
122 720 800 531 313 558 342
123 720 800 546 311 573 339
