"Frame Number" "Frame Width" "Frame Height" xmin ymin xmax ymax
2 720 800 244 240 298 275
3 720 800 242 233 297 275
4 720 800 240 226 295 273
5 720 800 238 217 293 271
6 720 800 236 204 291 268
7 720 800 235 185 288 262
8 720 800 230 163 284 255
9 720 800 223 144 278 248
10 720 800 212 127 270 241
20 720 800 231 599 287 647
25 720 800 328 266 434 326
43 720 800 0 621 12 635
118 720 800 0 738 15 795
139 720 800 570 0 580 10
140 720 800 321 0 339 8
150 720 800 399 8 405 18
166 720 800 536 2 584 48
