"Frame Number" "Frame Width" "Frame Height" xmin ymin xmax ymax
0 720 800 349 122 391 163
1 720 800 351 123 394 164
2 720 800 353 124 397 165
3 720 800 355 124 399 165
4 720 800 357 124 401 165
5 720 800 358 121 403 165
6 720 800 359 119 402 165
7 720 800 359 117 403 165
8 720 800 358 116 404 167
9 720 800 357 118 406 170
10 720 800 355 120 408 176
11 720 800 355 124 410 182
12 720 800 355 129 411 188
13 720 800 355 136 413 197
14 720 800 353 143 413 206
15 720 800 351 147 414 216
16 720 800 348 145 411 226
17 720 800 349 138 393 195
18 720 800 355 131 403 190
19 720 800 364 128 415 199
20 720 800 375 130 425 218
21 720 800 395 151 436 235
22 720 800 415 180 473 300
23 720 800 617 425 647 472
24 720 800 425 263 500 346
25 720 800 632 461 663 511
26 720 800 640 479 670 529
27 720 800 647 498 679 550
28 720 800 655 516 687 569
29 720 800 316 369 350 416
30 720 800 668 547 701 600
31 720 800 675 560 708 613
33 720 800 511 201 560 234
34 720 800 0 96 9 110
36 720 800 477 502 534 550
37 720 800 507 535 563 583
38 720 800 541 570 595 618
40 720 800 607 633 658 680
42 720 800 672 686 717 729
51 720 800 31 518 62 542
53 720 800 129 548 161 572
54 720 800 179 564 209 588
56 720 800 275 600 303 624
57 720 800 325 620 352 644
58 720 800 315 654 343 679
60 720 800 7 425 42 437
61 720 800 0 775 35 788
63 720 800 194 781 225 807
64 720 800 346 757 388 810
91 720 800 0 696 28 716
98 720 800 412 0 427 7
100 720 800 2 161 34 186
107 720 800 517 7 535 23
110 720 800 51 323 81 349
112 720 800 43 0 59 12
114 720 800 202 0 215 8
116 720 800 79 0 101 18
117 720 800 205 0 228 11
119 720 800 4 523 20 557
120 720 800 7 568 68 635
121 720 800 565 311 589 334
123 720 800 473 0 514 17
