"Frame Number" "Frame Width" "Frame Height" xmin ymin xmax ymax
0 720 800 292 169 336 239
1 720 800 291 172 335 242
2 720 800 290 175 335 247
3 720 800 290 179 335 250
4 720 800 289 185 338 259
5 720 800 290 195 343 266
6 720 800 290 208 350 275
7 720 800 288 232 347 287
8 720 800 286 250 350 298
9 720 800 286 268 358 309
10 720 800 285 275 375 317
11 720 800 284 270 376 320
12 720 800 264 259 369 331
13 720 800 275 241 370 330
14 720 800 282 221 372 341
15 720 800 214 266 246 300
16 720 800 213 277 247 317
17 720 800 209 292 243 331
18 720 800 201 310 232 340
22 720 800 157 436 217 518
32 720 800 594 565 648 638
73 720 800 5 449 11 454
80 720 800 0 403 27 437
82 720 800 0 421 58 458
107 720 800 600 0 618 14
108 720 800 529 0 545 33
109 720 800 514 0 523 9
125 720 800 196 657 229 736
127 720 800 166 659 199 742
